dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files
treatment,allthingslinux/tux,2024-10,82,48,37,160,32,128,85,25
treatment,allthingslinux/tux,2024-11,37,26,26,112,15,97,80,26
treatment,allthingslinux/tux,2024-12,24,5,5,11,2,9,10,3
treatment,allthingslinux/tux,2025-01,23,6,3,13,1,12,13,7
treatment,allthingslinux/tux,2025-02,45,33,30,303,75,228,197,45
treatment,allthingslinux/tux,2025-03,45,21,20,165,82,83,139,27
treatment,allthingslinux/tux,2025-04,252,135,117,903,393,510,642,86
treatment,allthingslinux/tux,2025-05,48,27,26,64,21,43,55,18
treatment,allthingslinux/tux,2025-06,201,85,72,579,396,183,497,59
treatment,allthingslinux/tux,2025-07,47,11,9,151,140,11,150,22
treatment,allthingslinux/tux,2025-08,235,163,139,2527,1586,941,1993,281
treatment,appl-team/appl,2024-05,5,2,2,564,563,1,563,58
treatment,appl-team/appl,2024-06,3,0,0,0,0,0,0,0
treatment,appl-team/appl,2024-07,1,1,1,50,25,25,50,20
treatment,appl-team/appl,2024-08,1,1,1,4,0,4,4,3
treatment,appl-team/appl,2024-09,3,3,3,116,53,63,105,25
treatment,appl-team/appl,2024-10,1,1,1,33,19,14,33,24
treatment,appl-team/appl,2024-11,1,1,1,85,42,43,85,23
treatment,appl-team/appl,2024-12,6,5,5,283,139,144,235,51
treatment,appl-team/appl,2025-01,2,2,2,26,9,17,26,9
treatment,askjohngeorge/pipecat-lead-qualifier,2025-01,173,120,103,455,230,225,249,29
treatment,askjohngeorge/pipecat-lead-qualifier,2025-02,222,190,166,604,147,457,192,18
treatment,c4fun/tell-stories-webui,2025-02,15,7,7,161,137,24,137,24
treatment,c4fun/tell-stories-webui,2025-04,1,0,0,0,0,0,0,0
treatment,cgevans/qslib,2024-02,1,1,1,4,0,4,4,2
treatment,cgevans/qslib,2024-03,2,1,1,2,2,0,2,1
treatment,cgevans/qslib,2024-05,1,1,1,2,0,2,2,1
treatment,cgevans/qslib,2024-08,4,4,4,41,11,30,36,6
treatment,cgevans/qslib,2024-10,5,4,3,35,1,34,34,3
treatment,cgevans/qslib,2024-11,7,5,5,5,1,4,4,3
treatment,cgevans/qslib,2024-12,4,4,3,20,5,15,15,4
treatment,cgevans/qslib,2025-01,1,1,1,2,1,1,2,2
treatment,cgevans/qslib,2025-02,68,4,3,54,21,33,50,5
treatment,cgevans/qslib,2025-03,58,20,15,136,58,78,108,12
treatment,cgevans/qslib,2025-04,1,0,0,0,0,0,0,0
treatment,cgevans/qslib,2025-05,1,0,0,0,0,0,0,0
treatment,cgevans/qslib,2025-06,1,1,0,0,0,0,0,0
treatment,cgevans/qslib,2025-07,4,4,3,6,3,3,6,3
treatment,cgevans/qslib,2025-08,8,8,8,46,18,28,40,4
treatment,codingforentrepreneurs/Cursor-Django,2024-10,32,19,12,26,24,2,24,10
treatment,cohnen/mcp-google-ads,2025-03,10,5,5,35,23,12,23,3
treatment,cohnen/mcp-google-ads,2025-04,2,1,1,6,4,2,6,2
treatment,cohnen/mcp-google-ads,2025-07,2,1,1,15,0,15,15,1
treatment,cohnen/mcp-google-ads,2025-08,2,1,1,1,0,1,1,1
treatment,daojiAnime/vmq-fastapi,2025-01,3,1,1,143,143,0,143,33
treatment,daojiAnime/vmq-fastapi,2025-02,27,17,14,82,24,58,62,26
treatment,daojiAnime/vmq-fastapi,2025-03,5,0,0,0,0,0,0,0
treatment,discus0434/nook,2025-02,9,2,2,79,78,1,78,8
treatment,discus0434/nook,2025-03,10,8,8,11,1,10,6,5
treatment,discus0434/nook,2025-04,2,1,1,15,2,13,15,7
treatment,ericmjl/llamabot,2024-01,83,50,43,74,19,55,49,21
treatment,ericmjl/llamabot,2024-02,90,55,44,93,13,80,43,16
treatment,ericmjl/llamabot,2024-03,69,43,38,94,34,60,53,18
treatment,ericmjl/llamabot,2024-04,12,6,3,4,0,4,3,3
treatment,ericmjl/llamabot,2024-05,3,1,0,0,0,0,0,0
treatment,ericmjl/llamabot,2024-06,6,4,2,2,0,2,2,2
treatment,ericmjl/llamabot,2024-07,147,34,22,56,29,27,34,9
treatment,ericmjl/llamabot,2024-08,71,16,9,27,7,20,16,5
treatment,ericmjl/llamabot,2024-09,44,31,21,53,15,38,33,10
treatment,ericmjl/llamabot,2024-10,170,86,61,216,61,155,141,31
treatment,ericmjl/llamabot,2024-11,77,46,34,178,109,69,129,22
treatment,ericmjl/llamabot,2024-12,57,42,26,104,61,43,71,13
treatment,ericmjl/llamabot,2025-01,38,25,19,90,59,31,73,10
treatment,ericmjl/llamabot,2025-02,60,36,21,33,0,33,31,16
treatment,ericmjl/llamabot,2025-04,33,19,12,39,15,24,22,4
treatment,ericmjl/llamabot,2025-05,99,54,46,329,128,201,198,29
treatment,ericmjl/llamabot,2025-06,23,15,9,32,22,10,27,4
treatment,ericmjl/llamabot,2025-07,55,33,25,307,218,89,226,20
treatment,ericmjl/llamabot,2025-08,54,31,21,203,81,122,91,7
treatment,ericmjl/pyds-cli,2024-02,14,5,4,7,3,4,7,5
treatment,ericmjl/pyds-cli,2024-03,26,13,10,24,10,14,23,11
treatment,ericmjl/pyds-cli,2024-04,34,5,0,0,0,0,0,0
treatment,ericmjl/pyds-cli,2024-05,3,1,0,0,0,0,0,0
treatment,ericmjl/pyds-cli,2024-06,4,3,2,3,2,1,3,3
treatment,ericmjl/pyds-cli,2024-07,39,19,9,27,3,24,18,7
treatment,ericmjl/pyds-cli,2024-08,23,8,4,4,0,4,3,3
treatment,ericmjl/pyds-cli,2024-11,44,24,16,69,25,44,28,7
treatment,ericmjl/pyds-cli,2025-03,14,2,0,0,0,0,0,0
treatment,ericmjl/pyds-cli,2025-04,8,1,0,0,0,0,0,0
treatment,ericyuegu/hal,2024-05,3,3,2,69,68,1,68,9
treatment,ericyuegu/hal,2024-06,47,37,31,73,42,31,46,12
treatment,ericyuegu/hal,2024-07,187,178,144,418,148,270,218,42
treatment,ericyuegu/hal,2024-08,9,9,9,31,5,26,21,9
treatment,ericyuegu/hal,2024-09,121,119,99,347,116,231,169,25
treatment,ericyuegu/hal,2024-10,36,31,23,86,40,46,63,24
treatment,ericyuegu/hal,2024-11,55,54,50,207,67,140,93,23
treatment,ericyuegu/hal,2024-12,35,33,32,120,36,84,66,19
treatment,ericyuegu/hal,2025-02,192,187,156,652,285,367,364,54
treatment,ericyuegu/hal,2025-03,57,52,43,137,64,73,88,22
treatment,ericzakariasson/uber-eats-mcp-server,2025-03,4,1,1,8,8,0,8,2
treatment,ethyca/fides,2024-01,38,12,12,194,116,78,193,55
treatment,ethyca/fides,2024-02,23,12,10,99,61,38,99,33
treatment,ethyca/fides,2024-03,58,10,9,227,150,77,225,49
treatment,ethyca/fides,2024-04,59,22,20,1118,432,686,968,180
treatment,ethyca/fides,2024-05,80,24,21,258,163,95,243,70
treatment,ethyca/fides,2024-06,71,25,22,427,275,152,390,86
treatment,ethyca/fides,2024-07,98,39,34,480,257,223,455,128
treatment,ethyca/fides,2024-08,87,27,24,856,195,661,823,254
treatment,ethyca/fides,2024-09,58,27,26,447,266,181,430,110
treatment,ethyca/fides,2024-10,82,30,28,388,151,237,346,97
treatment,ethyca/fides,2024-11,70,28,27,315,154,161,305,84
treatment,ethyca/fides,2024-12,56,26,22,358,289,69,337,83
treatment,ethyca/fides,2025-01,52,20,18,336,149,187,320,86
treatment,ethyca/fides,2025-02,84,35,32,599,300,299,483,108
treatment,ethyca/fides,2025-03,114,42,39,522,369,153,472,110
treatment,ethyca/fides,2025-04,112,36,32,551,250,301,522,133
treatment,ethyca/fides,2025-05,57,14,12,202,154,48,194,35
treatment,ethyca/fides,2025-06,76,27,25,1188,980,208,1118,139
treatment,ethyca/fides,2025-07,115,35,34,956,734,222,888,158
treatment,ethyca/fides,2025-08,81,40,39,1238,868,370,1056,126
treatment,ezyang/codemcp,2025-03,976,854,688,1794,631,1163,720,123
treatment,ezyang/codemcp,2025-04,34,27,24,53,20,33,35,12
treatment,ezyang/codemcp,2025-05,30,22,21,153,58,95,87,22
treatment,ezyang/codemcp,2025-06,5,3,3,5,1,4,4,4
treatment,gerred/mcp-server-replicate,2025-01,23,6,5,182,148,34,147,14
treatment,gerred/mcp-server-replicate,2025-02,0,0,0,0,0,0,0,0
treatment,getsentry/sentry,2024-01,1357,763,625,4576,1419,3157,3215,884
treatment,getsentry/sentry,2024-02,1233,720,618,10148,1601,8547,6620,1454
treatment,getsentry/sentry,2024-03,1353,729,608,4124,1135,2989,3083,835
treatment,getsentry/sentry,2024-04,1439,774,685,5064,1478,3586,3782,1072
treatment,getsentry/sentry,2024-05,1385,727,642,6376,1152,5224,4845,1393
treatment,getsentry/sentry,2024-06,1229,654,591,4916,1711,3205,3921,936
treatment,getsentry/sentry,2024-07,1333,744,671,5144,1529,3615,3991,1019
treatment,getsentry/sentry,2024-08,1010,446,417,4337,958,3379,2759,720
treatment,getsentry/sentry,2024-09,1076,515,420,2692,862,1830,2043,624
treatment,getsentry/sentry,2024-10,1241,549,486,4446,1026,3420,3121,809
treatment,getsentry/sentry,2024-11,1027,458,388,2770,1067,1703,2132,565
treatment,getsentry/sentry,2024-12,908,426,368,2809,691,2118,2304,649
treatment,getsentry/sentry,2025-01,1406,588,506,4233,1439,2794,3222,792
treatment,getsentry/sentry,2025-02,1402,569,512,3858,1445,2413,2933,736
treatment,getsentry/sentry,2025-03,1776,727,654,5311,1531,3780,3517,840
treatment,getsentry/sentry,2025-04,1980,842,746,5393,1995,3398,4034,1102
treatment,getsentry/sentry,2025-05,1591,713,601,3747,1074,2673,2712,794
treatment,getsentry/sentry,2025-06,1735,778,695,4544,1641,2903,3325,925
treatment,getsentry/sentry,2025-07,1815,898,795,21562,1759,19803,18772,2426
treatment,getsentry/sentry,2025-08,1201,632,566,13328,2170,11158,8366,1747
treatment,grapeot/web_agentic_ai,2025-02,33,22,18,236,158,78,158,20
treatment,grapeot/web_agentic_ai,2025-03,22,3,2,14,9,5,14,5
treatment,hyperb1iss/droidmind,2025-02,1,0,0,0,0,0,0,0
treatment,hyperb1iss/droidmind,2025-03,60,45,44,814,457,357,469,44
treatment,hyperb1iss/droidmind,2025-05,21,13,12,122,73,49,112,18
treatment,ilanbenb/wa_llm,2024-12,1,0,0,0,0,0,0,0
treatment,ilanbenb/wa_llm,2025-01,61,52,43,257,157,100,178,32
treatment,ilanbenb/wa_llm,2025-02,48,42,38,112,38,74,55,22
treatment,ilanbenb/wa_llm,2025-03,8,8,8,46,14,32,32,13
treatment,ilanbenb/wa_llm,2025-04,2,2,1,10,0,10,10,5
treatment,ilanbenb/wa_llm,2025-05,19,15,14,35,1,34,19,11
treatment,ilanbenb/wa_llm,2025-06,24,22,20,47,14,33,29,17
treatment,ilanbenb/wa_llm,2025-07,14,7,6,21,14,7,18,10
treatment,ilanbenb/wa_llm,2025-08,2,1,1,6,0,6,6,3
treatment,instructor-ai/instructor,2024-01,61,25,19,129,69,60,94,21
treatment,instructor-ai/instructor,2024-02,100,40,27,224,65,159,174,37
treatment,instructor-ai/instructor,2024-03,66,31,26,134,69,65,103,30
treatment,instructor-ai/instructor,2024-04,72,43,38,356,113,243,234,58
treatment,instructor-ai/instructor,2024-05,61,39,27,126,70,56,105,43
treatment,instructor-ai/instructor,2024-06,44,12,11,68,33,35,65,25
treatment,instructor-ai/instructor,2024-07,47,22,19,125,73,52,112,27
treatment,instructor-ai/instructor,2024-08,20,13,13,97,33,64,81,20
treatment,instructor-ai/instructor,2024-09,41,15,14,93,33,60,77,22
treatment,instructor-ai/instructor,2024-10,59,29,29,328,210,118,276,50
treatment,instructor-ai/instructor,2024-11,35,14,12,91,40,51,90,31
treatment,instructor-ai/instructor,2024-12,20,8,7,32,3,29,28,12
treatment,instructor-ai/instructor,2025-01,3,2,1,3,0,3,3,1
treatment,instructor-ai/instructor,2025-02,4,1,0,0,0,0,0,0
treatment,instructor-ai/instructor,2025-03,46,20,16,291,177,114,246,42
treatment,instructor-ai/instructor,2025-04,19,5,5,36,26,10,32,9
treatment,instructor-ai/instructor,2025-05,36,16,16,180,74,106,161,48
treatment,instructor-ai/instructor,2025-06,29,16,15,182,129,53,176,28
treatment,instructor-ai/instructor,2025-07,72,53,47,749,404,345,549,127
treatment,instructor-ai/instructor,2025-08,35,18,15,36,17,19,30,8
treatment,jmurth1234/ClaudePlayer,2025-02,6,3,3,43,36,7,36,2
treatment,jmurth1234/ClaudePlayer,2025-03,6,5,5,80,55,25,66,13
treatment,keephq/keep,2024-01,67,41,39,269,111,158,224,57
treatment,keephq/keep,2024-02,82,51,44,172,95,77,145,40
treatment,keephq/keep,2024-03,108,78,75,257,95,162,217,56
treatment,keephq/keep,2024-04,109,70,68,280,151,129,233,59
treatment,keephq/keep,2024-05,62,37,35,101,45,56,91,44
treatment,keephq/keep,2024-06,80,38,36,265,165,100,229,47
treatment,keephq/keep,2024-07,150,107,103,371,147,224,252,67
treatment,keephq/keep,2024-08,123,89,87,385,159,226,264,76
treatment,keephq/keep,2024-09,129,91,87,790,362,428,615,143
treatment,keephq/keep,2024-10,106,67,64,349,144,205,280,97
treatment,keephq/keep,2024-11,132,78,77,446,195,251,351,92
treatment,keephq/keep,2024-12,119,79,77,556,156,400,430,110
treatment,keephq/keep,2025-01,118,83,81,632,376,256,549,115
treatment,keephq/keep,2025-02,201,132,127,561,249,312,436,114
treatment,keephq/keep,2025-03,245,166,164,920,342,578,682,171
treatment,keephq/keep,2025-04,135,97,94,380,115,265,306,91
treatment,keephq/keep,2025-05,109,85,82,549,261,288,480,111
treatment,keephq/keep,2025-06,63,39,38,194,118,76,184,55
treatment,keephq/keep,2025-07,31,17,15,85,48,37,84,31
treatment,keephq/keep,2025-08,19,16,16,86,57,29,78,25
treatment,leettools-dev/leettools,2024-12,31,23,23,2116,1764,352,1751,357
treatment,leettools-dev/leettools,2025-01,37,25,25,431,79,352,335,163
treatment,leettools-dev/leettools,2025-02,28,20,19,480,318,162,438,132
treatment,leettools-dev/leettools,2025-03,25,17,16,242,82,160,208,78
treatment,leettools-dev/leettools,2025-04,10,8,8,149,22,127,135,58
treatment,loftwah/auto-jira,2025-02,34,29,28,120,67,53,67,5
treatment,lss233/kirara-ai,2024-02,1,1,1,1,0,1,1,1
treatment,lss233/kirara-ai,2024-12,3,3,3,126,121,5,121,31
treatment,lss233/kirara-ai,2025-01,4,4,4,66,49,17,63,13
treatment,lss233/kirara-ai,2025-02,125,100,94,1514,823,691,974,152
treatment,lss233/kirara-ai,2025-03,106,83,83,965,490,475,723,126
treatment,lss233/kirara-ai,2025-04,44,34,34,838,296,542,546,111
treatment,lss233/kirara-ai,2025-05,22,20,18,203,114,89,165,48
treatment,lss233/kirara-ai,2025-06,0,0,0,0,0,0,0,0
treatment,martinnormark/neural-mesh-simplification,2024-08,59,43,38,213,165,48,167,37
treatment,martinnormark/neural-mesh-simplification,2024-12,1,1,1,19,19,0,19,3
treatment,martinnormark/neural-mesh-simplification,2025-01,68,56,54,196,25,171,100,37
treatment,martinnormark/neural-mesh-simplification,2025-02,2,0,0,0,0,0,0,0
treatment,martinnormark/neural-mesh-simplification,2025-03,1,1,0,0,0,0,0,0
treatment,matebenyovszky/healing-agent,2024-10,7,5,5,164,117,47,120,31
treatment,matebenyovszky/healing-agent,2024-11,5,4,4,56,17,39,34,18
treatment,matebenyovszky/healing-agent,2025-01,3,1,1,7,1,6,7,3
treatment,namuan/trading-utils,2024-02,5,5,5,31,28,3,28,4
treatment,namuan/trading-utils,2024-03,8,7,6,22,15,7,21,5
treatment,namuan/trading-utils,2024-04,21,12,9,30,23,7,25,8
treatment,namuan/trading-utils,2024-05,11,10,5,16,13,3,15,4
treatment,namuan/trading-utils,2024-06,10,8,8,24,17,7,21,7
treatment,namuan/trading-utils,2024-07,1,1,1,8,7,1,8,3
treatment,namuan/trading-utils,2024-08,91,87,66,325,228,97,233,23
treatment,namuan/trading-utils,2024-09,19,16,15,80,49,31,68,23
treatment,namuan/trading-utils,2024-10,23,8,6,42,32,10,38,5
treatment,namuan/trading-utils,2024-11,116,99,83,307,148,159,194,43
treatment,namuan/trading-utils,2024-12,133,119,109,492,245,247,254,23
treatment,namuan/trading-utils,2025-01,29,28,26,68,21,47,24,5
treatment,namuan/trading-utils,2025-02,41,37,33,115,54,61,56,8
treatment,namuan/trading-utils,2025-03,4,3,2,3,0,3,2,1
treatment,nextml-code/pytorch-datastream,2024-08,4,2,2,3,0,3,3,2
treatment,nextml-code/pytorch-datastream,2024-09,1,0,0,0,0,0,0,0
treatment,nextml-code/pytorch-datastream,2025-01,8,2,2,8,1,7,8,3
treatment,osomai/servicenow-mcp,2025-03,21,18,18,530,480,50,480,54
treatment,osomai/servicenow-mcp,2025-04,3,3,3,20,11,9,18,4
treatment,osomai/servicenow-mcp,2025-05,1,0,0,0,0,0,0,0
treatment,osomai/servicenow-mcp,2025-06,2,2,2,33,31,2,33,8
treatment,osomai/servicenow-mcp,2025-08,1,1,1,5,1,4,5,3
treatment,panther-labs/panther-analysis,2024-01,33,4,3,12,6,6,12,7
treatment,panther-labs/panther-analysis,2024-02,43,20,17,95,80,15,58,29
treatment,panther-labs/panther-analysis,2024-03,18,8,6,54,35,19,54,29
treatment,panther-labs/panther-analysis,2024-04,29,16,15,46,33,13,46,21
treatment,panther-labs/panther-analysis,2024-05,3,2,1,8,8,0,8,4
treatment,panther-labs/panther-analysis,2024-06,35,14,12,88,40,48,68,42
treatment,panther-labs/panther-analysis,2024-07,37,21,20,111,70,41,97,45
treatment,panther-labs/panther-analysis,2024-08,33,20,19,59,22,37,46,26
treatment,panther-labs/panther-analysis,2024-09,26,14,14,140,91,49,140,47
treatment,panther-labs/panther-analysis,2024-10,30,14,14,640,61,579,630,292
treatment,panther-labs/panther-analysis,2024-11,22,13,13,117,84,33,115,58
treatment,panther-labs/panther-analysis,2024-12,11,8,8,38,32,6,37,15
treatment,panther-labs/panther-analysis,2025-01,44,24,23,259,239,20,176,43
treatment,panther-labs/panther-analysis,2025-02,32,12,12,45,31,14,44,19
treatment,panther-labs/panther-analysis,2025-03,29,19,16,79,63,16,79,30
treatment,panther-labs/panther-analysis,2025-04,30,20,18,55,28,27,54,27
treatment,panther-labs/panther-analysis,2025-05,12,8,8,12,1,11,12,10
treatment,panther-labs/panther-analysis,2025-06,13,6,5,6,0,6,6,5
treatment,panther-labs/panther-analysis,2025-07,18,10,10,37,29,8,37,15
treatment,panther-labs/panther-analysis,2025-08,22,8,5,168,33,135,167,152
treatment,raphaelmansuy/code2prompt,2024-03,25,9,8,43,33,10,33,6
treatment,raphaelmansuy/code2prompt,2024-06,45,28,23,113,60,53,76,34
treatment,raphaelmansuy/code2prompt,2024-07,55,22,20,177,112,65,131,42
treatment,raphaelmansuy/code2prompt,2024-09,6,5,4,104,71,33,96,23
treatment,raphaelmansuy/code2prompt,2024-12,1,0,0,0,0,0,0,0
treatment,raphaelmansuy/code2prompt,2025-01,2,0,0,0,0,0,0,0
treatment,raphaelmansuy/iteration_of_tought,2024-09,19,11,11,53,16,37,16,1
treatment,samuelgursky/davinci-resolve-mcp,2025-03,13,7,5,420,414,6,414,30
treatment,samuelgursky/davinci-resolve-mcp,2025-04,2,1,0,0,0,0,0,0
treatment,sbomify/sbomify,2025-01,11,2,2,370,364,6,364,66
treatment,sbomify/sbomify,2025-02,42,24,16,136,63,73,110,21
treatment,sbomify/sbomify,2025-03,10,3,3,29,20,9,29,9
treatment,sbomify/sbomify,2025-04,9,6,5,22,14,8,21,8
treatment,sbomify/sbomify,2025-05,103,63,45,383,187,196,265,59
treatment,sbomify/sbomify,2025-06,44,28,25,339,254,85,293,40
treatment,sbomify/sbomify,2025-07,109,55,50,1671,948,723,1161,99
treatment,sbomify/sbomify,2025-08,79,36,28,230,99,131,186,40
treatment,sirkirby/unifi-network-rules,2024-09,9,4,3,83,56,27,70,10
treatment,sirkirby/unifi-network-rules,2024-11,1,1,1,24,21,3,24,5
treatment,sirkirby/unifi-network-rules,2024-12,1,1,1,29,16,13,29,4
treatment,sirkirby/unifi-network-rules,2025-01,2,1,1,8,3,5,8,2
treatment,sirkirby/unifi-network-rules,2025-02,18,16,15,336,132,204,181,10
treatment,sirkirby/unifi-network-rules,2025-03,9,7,7,432,342,90,354,36
treatment,sirkirby/unifi-network-rules,2025-04,2,2,2,102,35,67,94,14
treatment,sirkirby/unifi-network-rules,2025-06,12,7,6,140,85,55,75,7
treatment,sirkirby/unifi-network-rules,2025-07,11,9,9,52,17,35,35,7
treatment,sirkirby/unifi-network-rules,2025-08,2,2,2,67,52,15,67,11
treatment,smartian1/tgtrader,2024-12,61,55,47,593,441,152,453,47
treatment,smartian1/tgtrader,2025-01,97,91,89,509,246,263,269,59
treatment,smartian1/tgtrader,2025-02,65,54,50,165,77,88,92,21
treatment,smartian1/tgtrader,2025-03,6,4,4,17,13,4,15,5
treatment,smartian1/tgtrader,2025-04,14,14,14,72,36,36,40,6
treatment,smorin/py-launch-blueprint,2025-01,54,12,4,54,33,21,33,4
treatment,smorin/py-launch-blueprint,2025-02,23,3,1,1,0,1,1,1
treatment,smorin/py-launch-blueprint,2025-03,24,1,1,3,3,0,3,1
treatment,smorin/py-launch-blueprint,2025-04,108,16,5,15,1,14,13,4
treatment,smorin/py-launch-blueprint,2025-05,48,7,0,0,0,0,0,0
treatment,smorin/py-launch-blueprint,2025-06,6,1,0,0,0,0,0,0
treatment,sshtunnelvision/MCP-LOGO-GEN,2025-03,15,4,4,39,31,8,31,7
treatment,synaptiai/prompt-decorators,2025-02,3,1,1,529,529,0,529,101
treatment,synaptiai/prompt-decorators,2025-03,109,49,41,4971,2752,2219,2736,256
treatment,synaptiai/prompt-decorators,2025-04,2,0,0,0,0,0,0,0
treatment,synaptiai/prompt-decorators,2025-05,21,5,5,51,41,10,43,9
treatment,synaptiai/prompt-decorators,2025-06,16,0,0,0,0,0,0,0
treatment,synaptiai/prompt-decorators,2025-07,8,0,0,0,0,0,0,0
treatment,synaptiai/prompt-decorators,2025-08,5,0,0,0,0,0,0,0
treatment,terryyin/lizard,2024-04,2,2,2,8,5,3,8,3
treatment,terryyin/lizard,2024-08,1,1,1,3,2,1,3,2
treatment,terryyin/lizard,2024-10,4,4,3,12,7,5,12,5
treatment,terryyin/lizard,2024-12,9,9,7,29,7,22,16,2
treatment,terryyin/lizard,2025-01,36,28,24,158,124,34,131,18
treatment,terryyin/lizard,2025-02,58,52,46,220,108,112,168,29
treatment,terryyin/lizard,2025-03,14,14,14,60,43,17,44,4
treatment,terryyin/lizard,2025-04,8,6,4,24,8,16,21,8
treatment,terryyin/lizard,2025-05,40,39,29,185,116,69,154,20
treatment,terryyin/lizard,2025-06,3,3,3,50,42,8,50,6
treatment,terryyin/lizard,2025-07,1,1,1,2,2,0,2,2
treatment,terryyin/lizard,2025-08,1,1,1,8,7,1,8,2
treatment,tmux-python/tmuxp,2024-01,4,0,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2024-02,46,16,8,69,1,68,60,21
treatment,tmux-python/tmuxp,2024-03,40,16,5,66,0,66,63,31
treatment,tmux-python/tmuxp,2024-04,32,14,9,31,2,29,27,15
treatment,tmux-python/tmuxp,2024-05,11,3,1,17,0,17,17,11
treatment,tmux-python/tmuxp,2024-06,10,0,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2024-07,9,2,1,11,0,11,11,4
treatment,tmux-python/tmuxp,2024-08,7,0,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2024-09,6,0,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2024-10,10,1,1,1,0,1,1,1
treatment,tmux-python/tmuxp,2024-11,19,3,1,1,0,1,1,1
treatment,tmux-python/tmuxp,2024-12,21,4,2,81,0,81,79,31
treatment,tmux-python/tmuxp,2025-01,24,8,3,124,0,124,118,38
treatment,tmux-python/tmuxp,2025-02,63,29,20,35,2,33,28,14
treatment,tmux-python/tmuxp,2025-03,10,0,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2025-04,10,0,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2025-05,12,0,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2025-06,14,5,4,7,0,7,6,5
treatment,tmux-python/tmuxp,2025-07,9,1,0,0,0,0,0,0
treatment,tmux-python/tmuxp,2025-08,11,0,0,0,0,0,0,0
treatment,tony/django-docutils,2024-01,6,1,1,1,0,1,1,1
treatment,tony/django-docutils,2024-02,23,6,2,2,0,2,2,2
treatment,tony/django-docutils,2024-03,18,5,2,31,0,31,27,14
treatment,tony/django-docutils,2024-04,15,3,2,3,0,3,2,2
treatment,tony/django-docutils,2024-05,7,0,0,0,0,0,0,0
treatment,tony/django-docutils,2024-06,9,1,0,0,0,0,0,0
treatment,tony/django-docutils,2024-07,12,1,0,0,0,0,0,0
treatment,tony/django-docutils,2024-08,9,1,1,2,0,2,2,1
treatment,tony/django-docutils,2024-09,6,0,0,0,0,0,0,0
treatment,tony/django-docutils,2024-10,8,0,0,0,0,0,0,0
treatment,tony/django-docutils,2024-11,12,2,1,1,0,1,1,1
treatment,tony/django-docutils,2024-12,25,4,3,46,0,46,43,28
treatment,tony/django-docutils,2025-01,20,5,3,50,0,50,49,26
treatment,tony/django-docutils,2025-02,13,0,0,0,0,0,0,0
treatment,tony/django-docutils,2025-03,8,0,0,0,0,0,0,0
treatment,tony/django-docutils,2025-04,10,0,0,0,0,0,0,0
treatment,tony/django-docutils,2025-05,12,0,0,0,0,0,0,0
treatment,tony/django-docutils,2025-06,8,0,0,0,0,0,0,0
treatment,tony/django-docutils,2025-07,8,0,0,0,0,0,0,0
treatment,tony/django-docutils,2025-08,11,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-01,5,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-02,19,3,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-03,11,2,1,3,0,3,3,2
treatment,tony/django-slugify-processor,2024-04,13,2,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-05,7,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-06,9,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-07,6,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-08,15,3,1,2,0,2,2,1
treatment,tony/django-slugify-processor,2024-09,6,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-10,8,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2024-11,12,2,1,1,0,1,1,1
treatment,tony/django-slugify-processor,2024-12,20,2,1,1,0,1,1,1
treatment,tony/django-slugify-processor,2025-01,15,1,1,3,0,3,3,1
treatment,tony/django-slugify-processor,2025-02,13,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2025-03,8,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2025-04,10,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2025-05,12,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2025-06,8,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2025-07,8,0,0,0,0,0,0,0
treatment,tony/django-slugify-processor,2025-08,11,0,0,0,0,0,0,0
treatment,trycua/cua,2025-01,1,0,0,0,0,0,0,0
treatment,trycua/cua,2025-02,27,0,0,0,0,0,0,0
treatment,trycua/cua,2025-03,93,13,11,834,726,108,729,105
treatment,trycua/cua,2025-04,237,66,58,276,153,123,187,39
treatment,trycua/cua,2025-05,179,92,83,557,302,255,361,47
treatment,trycua/cua,2025-06,167,63,53,420,242,178,334,46
treatment,trycua/cua,2025-07,121,52,51,729,572,157,640,81
treatment,trycua/cua,2025-08,232,142,122,712,340,372,497,58
