dataset_source,repo_name,time,npr_agc_regular_module_function_unique_bodies
treatment,martinnormark/neural-mesh-simplification,2024-08,13
treatment,martinnormark/neural-mesh-simplification,2025-01,13
treatment,matebenyovszky/healing-agent,2024-10,14
treatment,matebenyovszky/healing-agent,2024-11,12
treatment,matebenyovszky/healing-agent,2025-01,2
treatment,namuan/trading-utils,2024-02,1
treatment,namuan/trading-utils,2024-03,3
treatment,namuan/trading-utils,2024-04,3
treatment,namuan/trading-utils,2024-05,3
treatment,namuan/trading-utils,2024-06,2
treatment,namuan/trading-utils,2024-07,2
treatment,namuan/trading-utils,2024-08,7
treatment,namuan/trading-utils,2024-09,9
treatment,namuan/trading-utils,2024-10,5
treatment,namuan/trading-utils,2024-11,30
treatment,namuan/trading-utils,2024-12,27
treatment,namuan/trading-utils,2025-01,7
treatment,namuan/trading-utils,2025-02,7
treatment,osomai/servicenow-mcp,2025-03,8
treatment,osomai/servicenow-mcp,2025-06,1
treatment,panther-labs/panther-analysis,2024-03,1
treatment,panther-labs/panther-analysis,2024-10,4
treatment,panther-labs/panther-analysis,2024-11,1
treatment,panther-labs/panther-analysis,2025-03,3
treatment,panther-labs/panther-analysis,2025-08,6
treatment,raphaelmansuy/code2prompt,2024-03,5
treatment,raphaelmansuy/code2prompt,2024-06,15
treatment,raphaelmansuy/code2prompt,2024-07,8
treatment,raphaelmansuy/code2prompt,2024-09,1
treatment,samuelgursky/davinci-resolve-mcp,2025-03,21
treatment,sbomify/sbomify,2025-01,15
treatment,sbomify/sbomify,2025-02,1
treatment,sbomify/sbomify,2025-03,1
treatment,sbomify/sbomify,2025-05,19
treatment,sbomify/sbomify,2025-06,9
treatment,sbomify/sbomify,2025-07,34
treatment,sbomify/sbomify,2025-08,2
treatment,sirkirby/unifi-network-rules,2025-02,1
treatment,sirkirby/unifi-network-rules,2025-03,2
treatment,smartian1/tgtrader,2024-12,1
treatment,smartian1/tgtrader,2025-01,6
treatment,smartian1/tgtrader,2025-03,2
treatment,smartian1/tgtrader,2025-04,1
treatment,smorin/py-launch-blueprint,2025-01,1
treatment,smorin/py-launch-blueprint,2025-03,2
treatment,sshtunnelvision/MCP-LOGO-GEN,2025-03,1
treatment,synaptiai/prompt-decorators,2025-02,6
treatment,synaptiai/prompt-decorators,2025-03,31
treatment,synaptiai/prompt-decorators,2025-05,2
treatment,tmux-python/tmuxp,2024-02,1
treatment,tmux-python/tmuxp,2024-03,1
treatment,tmux-python/tmuxp,2025-01,2
treatment,trycua/cua,2025-03,7
treatment,trycua/cua,2025-04,3
treatment,trycua/cua,2025-05,2
treatment,trycua/cua,2025-06,2
treatment,trycua/cua,2025-07,5
treatment,tsukumijima/KonomiTV,2025-02,1
treatment,tw-haiven/haiven,2024-04,5
treatment,tw-haiven/haiven,2024-05,1
treatment,tw-haiven/haiven,2025-07,1
treatment,utensils/mcp-nixos,2025-03,12
treatment,utensils/mcp-nixos,2025-04,2
treatment,utensils/mcp-nixos,2025-05,1
treatment,vcs-python/vcspull,2024-02,1
treatment,vcs-python/vcspull,2025-01,2
treatment,wdm0006/elote,2025-02,1
treatment,wdm0006/elote,2025-03,3
treatment,wdm0006/elote,2025-04,1
treatment,wdm0006/git-pandas,2025-03,2
treatment,wdm0006/git-pandas,2025-05,1
treatment,wdm0006/git-pandas,2025-07,2
treatment,wdm0006/pygeohash,2025-03,5
treatment,wdm0006/pygeohash,2025-04,1
treatment,wdm0006/pygeohash,2025-05,1
treatment,wdm0006/pygeohash,2025-07,1
treatment,whiteducksoftware/flock,2025-02,10
