target_id,variant,source_group,repo_name,time,path_bucket,component_path,type,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/queries/nodes/DataNode/dataNodeLogic.ts,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/insights/views/LineGraph/LineGraph.tsx,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/surveys/surveyLogic.tsx,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/cdp/cdp-api.ts,CODE_SMELL,0,23,23,-23,23
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/dicts.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/functionVars.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/ifJump.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/nulls.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/printLoops.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/printLoops2.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/recursion.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/scope.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/tuples.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/upvalues.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/variables.js,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/typescript/src/__tests__/execute.test.ts,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/feature-flags/FeatureFlagReleaseConditions.tsx,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/feature-flags/featureFlagLogic.ts,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/insights/filters/BreakdownFilter/taxonomicBreakdownFilterLogic.test.ts,CODE_SMELL,0,22,22,-22,22
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/worker/ingestion/person-state.ts,CODE_SMELL,0,22,22,-22,22
3,paper_like,treatment,DataDog/integrations-core,2025-01,datadog_checks_base,datadog_checks_base/datadog_checks/base/checks/prometheus/mixins.py,CODE_SMELL,0,22,22,-22,22
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-GTKDMUJJ.mjs,CODE_SMELL,0,21,21,-21,21
3,paper_like,treatment,DataDog/integrations-core,2025-01,argocd,argocd/tests/kind/argocd_install.yaml,CODE_SMELL,0,21,21,-21,21
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-D3PZO57J.mjs,BUG,0,20,20,-20,20
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/diagram-V25JEYTC.mjs,CODE_SMELL,0,20,20,-20,20
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/layout/navigation-3000/components/SidebarList.tsx,CODE_SMELL,0,20,20,-20,20
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/layout/panel-layout/ProjectTree/projectTreeLogic.tsx,CODE_SMELL,0,20,20,-20,20
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/components/AuthorizedUrlList/authorizedUrlListLogic.ts,CODE_SMELL,0,20,20,-20,20
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/billing/BillingProductPricingTable.tsx,CODE_SMELL,0,20,20,-20,20
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/insights/EmptyStates/EmptyStates.tsx,CODE_SMELL,0,20,20,-20,20
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/session-recordings/player/inspector/playerInspectorLogic.ts,CODE_SMELL,0,20,20,-20,20
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/session-recordings/player/sessionRecordingPlayerLogic.ts,CODE_SMELL,0,20,20,-20,20
3,paper_like,treatment,DataDog/integrations-core,2025-01,mapreduce,mapreduce/datadog_checks/mapreduce/mapreduce.py,CODE_SMELL,0,20,20,-20,20
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-YJEQJWB7.mjs,BUG,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/layout/navigation-3000/sidepanel/panels/sidePanelMaxChatInterface.tsx,CODE_SMELL,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/components/Subscriptions/subscriptionLogic.ts,CODE_SMELL,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/queries/nodes/DataTable/DataTable.tsx,CODE_SMELL,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/queries/nodes/DataVisualization/Components/Charts/LineGraph.tsx,CODE_SMELL,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/billing/PlanComparison.tsx,CODE_SMELL,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/insights/filters/ActionFilter/ActionFilterRow/ActionFilterRow.tsx,CODE_SMELL,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/insights/utils/cleanFilters.test.ts,CODE_SMELL,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/onboarding/Onboarding.stories.tsx,BUG,0,19,19,-19,19
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/pipeline/PipelinePluginConfiguration.tsx,CODE_SMELL,0,19,19,-19,19
3,paper_like,treatment,DataDog/integrations-core,2025-01,datadog_checks_dev,datadog_checks_dev/datadog_checks/dev/tooling/utils.py,CODE_SMELL,0,19,19,-19,19
3,paper_like,treatment,DataDog/integrations-core,2025-01,exchange_server,exchange_server/datadog_checks/exchange_server/metrics.py,CODE_SMELL,0,19,19,-19,19
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/ganttDiagram-6SR64PWN.mjs,BUG,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/operations.js,BUG,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/layout/navigation-3000/sidepanel/panels/access_control/AccessControlObject.tsx,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/lemon-ui/LemonInputSelect/LemonInputSelect.tsx,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/authentication/signup/signupForm/signupLogic.ts,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/pipeline/hogfunctions/HogFunctionConfiguration.tsx,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/surveys/utils.test.ts,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/cdp/legacy-plugins/_transformations/user-agent-plugin/index.test.ts,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/config/config.ts,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/worker/ingestion/persons/measuring-person-store.ts,CODE_SMELL,0,18,18,-18,18
3,paper_like,treatment,DataDog/integrations-core,2025-01,datadog_checks_base,datadog_checks_base/datadog_checks/base/stubs/aggregator.py,CODE_SMELL,0,18,18,-18,18
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/components/CommandPalette/commandPaletteLogic.tsx,CODE_SMELL,0,17,17,-17,17
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/data-warehouse/new/sourceWizardLogic.tsx,CODE_SMELL,0,17,17,-17,17
