repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence
Hankanman/Area-Occupancy-Detection,2025-04,1,2024-12,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,81,30102,15525,2,4.0,10.0,15.0,126.0,7639.0,0.0,0.0,49.0,1.4,21.6,650.0,309.0,,,,treatment,True,True
Hankanman/Area-Occupancy-Detection,2025-05,1,2024-12,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,18,4922,2725,2,16.0,8.0,10.0,156.0,7697.0,0.0,0.0,49.0,1.8,21.0,707.0,318.0,,,,treatment,True,True
Hankanman/Area-Occupancy-Detection,2025-06,1,2024-12,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,136,96517,63738,3,2.0,0.0,4.0,187.0,12817.0,5.0,0.0,62.0,1.3,17.5,708.0,453.0,,,,treatment,True,False
Hankanman/Area-Occupancy-Detection,2025-07,1,2024-12,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,141,44597,37764,3,2.0,6.0,19.0,217.0,14210.0,5.0,0.0,80.0,2.8,17.3,796.0,476.0,,,,treatment,True,False
Hankanman/Area-Occupancy-Detection,2025-08,1,2024-12,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,57,27296,37906,3,4.0,6.0,30.0,248.0,12891.0,11.0,0.0,119.0,0.7,15.6,1012.0,713.0,,,,treatment,True,False
Kiln-AI/Kiln,2024-08,0,2025-01,0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,160,9596,1499,2,0.0,0.0,0.0,0.0,1021.0,1.0,0.0,13.0,0.0,7.9,84.0,7.0,,,,treatment,,
Kiln-AI/Kiln,2024-09,0,2025-01,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,58,4016,1297,2,0.0,0.0,0.0,0.0,2763.0,2.0,0.0,29.0,0.0,8.3,262.0,44.0,,,,treatment,,
Kiln-AI/Kiln,2024-10,0,2025-01,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,306,46885,14728,2,2.0,0.0,0.0,0.0,7954.0,6.0,0.0,73.0,1.2,9.7,597.0,333.0,,,,treatment,,
Kiln-AI/Kiln,2024-11,0,2025-01,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,238,23224,3121,2,39.0,14.0,12.0,6.0,12971.0,8.0,0.0,93.0,0.8,9.4,856.0,520.0,,,,treatment,,
Kiln-AI/Kiln,2024-12,0,2025-01,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,189,29627,4455,4,47.0,19.0,43.0,36.0,16617.0,14.0,0.0,101.0,0.9,9.2,1103.0,643.0,,,,treatment,,
Kiln-AI/Kiln,2025-01,1,2025-01,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,111,6877,2338,6,665.0,29.0,42.0,67.0,18135.0,18.0,0.0,110.0,0.8,9.5,1195.0,697.0,,,,treatment,True,True
Kiln-AI/Kiln,2025-02,1,2025-01,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,247,42187,11148,4,1957.0,48.0,59.0,98.0,25165.0,14.0,0.0,149.0,0.6,9.8,1708.0,994.0,,,,treatment,True,True
Kiln-AI/Kiln,2025-03,1,2025-01,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,172,27697,8362,4,289.0,17.0,44.0,126.0,28044.0,22.0,0.0,162.0,0.7,10.0,1822.0,1063.0,,,,treatment,True,True
Kiln-AI/Kiln,2025-04,1,2025-01,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,108,10998,2953,4,124.0,11.0,16.0,157.0,29931.0,22.0,0.0,172.0,0.6,10.0,1935.0,1249.0,,,,treatment,True,False
Kiln-AI/Kiln,2025-05,1,2025-01,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,180,19780,4559,5,101.0,8.0,84.0,187.0,33712.0,22.0,0.0,189.0,0.9,10.1,2221.0,1404.0,,,,treatment,True,True
Kiln-AI/Kiln,2025-06,1,2025-01,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,317,33217,11744,5,170.0,4.0,72.0,218.0,35833.0,22.0,0.0,196.0,1.1,10.2,2414.0,1522.0,,,,treatment,True,True
Kiln-AI/Kiln,2025-07,1,2025-01,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,337,65576,16036,7,87.0,6.0,79.0,248.0,39255.0,22.0,0.0,195.0,1.3,10.0,2550.0,1545.0,,,,treatment,True,False
Kiln-AI/Kiln,2025-08,1,2025-01,1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,415,125629,40777,10,50.0,6.0,120.0,279.0,41656.0,24.0,0.0,197.0,1.5,10.0,2628.0,1562.0,,,,treatment,True,False
