dataset_source,repo_name,repo_dir,candidate_ref,candidate_priority,candidate_tip_commit,candidate_kind,candidate_revision_count,candidate_contains_all_panel_anchors,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,selected,selection_status
control,qiboteam/qibojit,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/qiboteam_qibojit,HEAD,1,7a1b2c7b253a9ab6c298001408b36b1722d2d1a1,head,1,1,1356,18,18,18,18,1,perfect_panel_match
control,ruiqini/NTFields,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ruiqini_NTFields,HEAD,1,587ffd87349bc590be734b68a8b56b1488b74b71,head,1,1,33,1,1,1,1,1,perfect_panel_match
control,saucer-man/qq_msg_decode,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/saucer-man_qq_msg_decode,HEAD,1,073990b5331ccb62793a16c653b390bdea01f0cd,head,1,1,8,1,1,1,1,1,perfect_panel_match
control,slopp/30_days_of_dagster,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/slopp_30_days_of_dagster,HEAD,1,2d9ff7930c6475370fd66f264931bb5924ac3060,head,1,1,73,2,2,2,2,1,perfect_panel_match
control,stakewise/v3-operator,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/stakewise_v3-operator,HEAD,1,9c163d65f9a32a343c1571fb365da1ea2677105f,head,1,1,513,19,19,19,19,1,perfect_panel_match
control,taylorwilsdon/open-webui-tools,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/taylorwilsdon_open-webui-tools,HEAD,1,53921eb17c310df70a46d641564b60453f053a23,head,1,1,33,4,4,4,4,1,perfect_panel_match
control,thefatedefeater/V2ray-Config,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thefatedefeater_V2ray-Config,HEAD,1,515eecbef7ca8e50b7439d0910bc3a697f0d389c,head,1,1,4200,8,8,8,8,1,perfect_panel_match
control,thegreenwebfoundation/admin-portal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thegreenwebfoundation_admin-portal,HEAD,1,e16f09c325eb8df2d546ef96e00191dec8443ae7,head,1,1,1924,20,20,20,20,1,perfect_panel_match
control,tusgino/llm-code-reviewer,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/tusgino_llm-code-reviewer,HEAD,1,9478906fc312df80334a5f609f09a344183725da,head,1,1,39,1,1,1,1,1,perfect_panel_match
control,viktoriasemaan/sa-ai-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/viktoriasemaan_sa-ai-agent,HEAD,1,0940e9cb6507fec46df6502f341dc81a103a6aa7,head,1,1,37,2,2,2,2,1,perfect_panel_match
control,vonssy/BlockBitsApp-BOT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_BlockBitsApp-BOT,HEAD,1,d0ef1f6adb1edcfd79b860b935f890eea804ad79,head,1,1,3,1,1,1,1,1,perfect_panel_match
