function_line_count,events,agc_events,hwc_events,repositories,share_of_total,cumulative_events_le,cumulative_share_le,agc_ratio
126,251,2,249,43,0.0005570993545637757,435389,0.9663543063114252,0.00796812749003984
127,238,6,232,42,0.0005282456031321857,435627,0.9668825519145574,0.025210084033613446
128,250,5,245,52,0.0005548798352228841,435877,0.9674374317497803,0.02
129,224,11,213,42,0.0004971723323597041,436101,0.9679346040821399,0.049107142857142856
130,211,10,201,45,0.0004683185809281142,436312,0.968402922663068,0.04739336492890995
131,190,6,184,41,0.0004217086747693919,436502,0.9688246313378375,0.031578947368421054
132,208,2,206,41,0.0004616600229054396,436710,0.969286291360743,0.009615384615384616
133,199,9,190,41,0.0004416843488374158,436909,0.9697279757095804,0.04522613065326633
134,183,5,178,45,0.0004061720393831512,437092,0.9701341477489634,0.0273224043715847
135,197,6,191,46,0.0004372453101556327,437289,0.9705713930591191,0.030456852791878174
136,188,6,182,44,0.00041726963608760886,437477,0.9709886626952067,0.031914893617021274
137,226,7,219,46,0.0005016113710414873,437703,0.9714902740662482,0.030973451327433628
138,200,6,194,44,0.0004439038681783073,437903,0.9719341779344265,0.03
139,157,2,155,41,0.00034846453651997123,438060,0.9722826424709465,0.012738853503184714
140,138,3,135,32,0.00030629366904303204,438198,0.9725889361399895,0.021739130434782608
141,155,10,145,38,0.0003440254978381882,438353,0.9729329616378277,0.06451612903225806
142,206,6,200,45,0.0004572209842236565,438559,0.9733901826220513,0.02912621359223301
143,169,7,162,38,0.00037509876861066966,438728,0.973765281390662,0.04142011834319527
144,152,9,143,38,0.0003373669398155136,438880,0.9741026483304775,0.05921052631578947
145,170,3,167,35,0.0003773182879515612,439050,0.9744799666184291,0.01764705882352941
146,130,2,128,38,0.00028853751431589977,439180,0.974768504132745,0.015384615384615385
147,155,4,151,33,0.0003440254978381882,439335,0.9751125296305831,0.025806451612903226
148,158,4,154,35,0.0003506840558608628,439493,0.9754632136864441,0.02531645569620253
149,169,6,163,40,0.00037509876861066966,439662,0.9758383124550547,0.03550295857988166
150,143,7,136,37,0.0003173912657474897,439805,0.9761557037208022,0.04895104895104895
151,133,5,128,36,0.0002951960723385744,439938,0.9764508997931408,0.03759398496240601
152,137,4,133,38,0.0003040741497021405,440075,0.9767549739428429,0.029197080291970802
153,129,7,122,36,0.0002863179949750082,440204,0.977041291937818,0.05426356589147287
154,152,9,143,32,0.0003373669398155136,440356,0.9773786588776334,0.05921052631578947
155,145,3,142,35,0.0003218303044292728,440501,0.9777004891820628,0.020689655172413793
156,181,7,174,37,0.0004017330007013681,440682,0.9781022221827641,0.03867403314917127
157,131,0,131,35,0.00029075703365679127,440813,0.9783929792164209,0.0
158,143,5,138,30,0.0003173912657474897,440956,0.9787103704821684,0.03496503496503497
159,124,2,122,30,0.00027522039827055056,441080,0.9789855908804389,0.016129032258064516
160,121,2,119,28,0.0002685618402478759,441201,0.9792541527206868,0.01652892561983471
161,124,5,119,35,0.00027522039827055056,441325,0.9795293731189574,0.04032258064516129
162,127,1,126,26,0.00028187895629322516,441452,0.9798112520752505,0.007874015748031496
163,101,7,94,25,0.0002241714534300452,441553,0.9800354235286807,0.06930693069306931
