exclusion_stage,exclusion_reason,scope_role,dataset_source,repo_name,time,event,time_to_event,python_eligible,scan_status,commits,lines_added,age,ncloc,ncloc_original,ncloc_recovered,ncloc_source,ncloc_recovery_applied,ncloc_recovery_snapshot_key,contributors,stars,issues,latest_commit_effective,commit_resolution
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,cohnen/mcp-google-ads,2025-07,2025-03,4.0,1,success_python,2.0,74.0,102,1123.0,1123.0,,replication_panel,0,,1.0,28,1,9fc07108bca44dd47f4de8de279feb7e0f098e07,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,cohnen/mcp-google-ads,2025-08,2025-03,5.0,1,success_python,3.0,51.0,133,1134.0,1134.0,,replication_panel,0,,2.0,15,0,c028ad994d96eea4fcd4301938e895c70d43cd6c,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,daojiAnime/vmq-fastapi,2025-01,2025-01,0.0,1,success_python,3.0,229.0,0,1969.0,1969.0,,replication_panel,0,,1.0,7,0,0c26f00ba01633a4e487135f27eb60e11d27f7f0,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,daojiAnime/vmq-fastapi,2025-02,2025-01,1.0,1,success_python,27.0,1326.0,9,2335.0,2335.0,,replication_panel,0,,2.0,2,0,671f34b7e3cc086980180011cd647c1c8cadfe83,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,daojiAnime/vmq-fastapi,2025-03,2025-01,2.0,1,success_python,8.0,28.0,37,2335.0,2335.0,,replication_panel,0,,3.0,3,0,cfd7123fbc3eb53f6d63f9ae4bbb0d254d1c220d,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,discus0434/nook,2025-02,2025-02,0.0,1,success_python,8.0,11.0,0,2772.0,2772.0,,replication_panel,0,,2.0,0,0,d42e921ae5e200ffea1b9d16943bfe776c96aa2a,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,discus0434/nook,2025-03,2025-02,1.0,1,success_python,11.0,72.0,0,2799.0,2799.0,,replication_panel,0,,2.0,202,1,e9fbce1f2d994f41be8762132c6a7d0b14e2a2cd,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,discus0434/nook,2025-04,2025-02,2.0,1,success_python,2.0,1101.0,31,3260.0,3260.0,,replication_panel,0,,1.0,14,1,93a9b79409fbfd36c57e68b085dd6cea448d11a2,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,ericzakariasson/uber-eats-mcp-server,2025-03,2025-03,0.0,1,success_python,5.0,230.0,0,101.0,101.0,,replication_panel,0,,3.0,132,3,ba475ebd9343dc771addd22ecbd19420a8d7534b,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,ezyang/codemcp,2025-03,2025-03,0.0,1,success_python,1019.0,43044.0,0,8341.0,8341.0,,replication_panel,0,,8.0,863,66,5295ec34409551d3aefad86af2d30a2c3b50fb25,observed
