control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month,control_key,matched_estimable_treatment_count,linked_to_estimable_treatment,panel_row_count,panel_first_month,panel_last_month,python_panel_row_count,python_panel_first_month,python_panel_last_month,model_a_complete_row_count,model_a_complete_first_month,model_a_complete_last_month,model_a_estimable_row_count,model_a_estimable_first_month,model_a_estimable_last_month,panel_no_python_rows,panel_python_rows,panel_unknown_python_rows,control_has_adoption_event,control_event_effective,panel_post_adoption_rows,control_adoption_signal_without_event_rows,panel_post_adoption_python_rows,control_pool_status
RobinWu218/ToST,6,5,42,20,1,aligned,3,1,2,0,2024-12,2025-02,robinwu218/tost,3,1,3,2024-12,2025-02,1,2025-02,2025-02,1,2025-02,2025-02,1,2025-02,2025-02,2,1,0,0,,0,0,0,model_a_estimable_available
SEU-ProactiveSecurity-Group/LLM-PD,1,1,5,4,1,aligned,5,4,1,0,2024-12,2025-04,seu-proactivesecurity-group/llm-pd,1,1,5,2024-12,2025-04,4,2025-01,2025-04,4,2025-01,2025-04,4,2025-01,2025-04,1,4,0,0,,0,0,0,model_a_estimable_available
Scholar01/sd-webui-bg-mask,1,1,17,17,1,aligned,2,2,0,0,2023-09,2023-10,scholar01/sd-webui-bg-mask,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
Scrapybara/scrapybara-playground,4,3,19,16,1,aligned,4,4,0,0,2024-12,2025-03,scrapybara/scrapybara-playground,1,1,4,2024-12,2025-03,2,2024-12,2025-01,2,2024-12,2025-01,2,2024-12,2025-01,0,4,0,1,2025-02,2,0,2,model_a_estimable_available
Simatwa/free-proxies,1,1,20,16,1,aligned,1,1,0,0,2024-05,2024-05,simatwa/free-proxies,1,1,1,2024-05,2024-05,1,2024-05,2024-05,1,2024-05,2024-05,1,2024-05,2024-05,0,1,0,0,,0,0,0,model_a_estimable_available
The-Compiler/pytest-vw,1,1,20,20,1,aligned,55,55,0,0,2015-10,2020-04,the-compiler/pytest-vw,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
The-WhiteRabbit/dnfm_server,1,1,1,1,1,aligned,1,1,0,0,2024-08,2024-08,the-whiterabbit/dnfm_server,0,0,1,2024-08,2024-08,1,2024-08,2024-08,1,2024-08,2024-08,0,,,0,1,0,0,,0,0,0,not_linked_to_estimable_treatment
TheFocusedCoder/api-agent,1,1,1,1,1,aligned,1,1,0,0,2024-08,2024-08,thefocusedcoder/api-agent,0,0,1,2024-08,2024-08,1,2024-08,2024-08,1,2024-08,2024-08,0,,,0,1,0,0,,0,0,0,not_linked_to_estimable_treatment
TianxingChen/RoboTwin,1,1,20,0,1,aligned,1,0,1,0,2025-06,2025-06,tianxingchen/robotwin,1,1,1,2025-06,2025-06,0,,,0,,,0,,,1,0,0,0,,0,0,0,panel_rows_no_python
VirtualFlow/VFVS,1,1,20,20,1,aligned,99,46,53,0,2017-06,2025-08,virtualflow/vfvs,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
